Word         , Frequency, Frequency (%)
discreet     ,         1, 0.0315856%
disgrace     ,         1, 0.0315856%
disturb      ,         1, 0.0315856%
disturbed    ,         1, 0.0315856%
doctrine     ,         1, 0.0315856%
chaste       ,         1, 0.0315856%
drew         ,         1, 0.0315856%
drove        ,         1, 0.0315856%
drowned      ,         1, 0.0315856%
drum         ,         1, 0.0315856%
edited       ,         1, 0.0315856%
edu          ,         1, 0.0315856%
encounter    ,         1, 0.0315856%
end          ,         1, 0.0315856%
enemies      ,         1, 0.0315856%
envious      ,         1, 0.0315856%
attendants   ,         1, 0.0315856%
appareled    ,         1, 0.0315856%
approach     ,         1, 0.0315856%
april        ,         1, 0.0315856%
armed        ,         1, 0.0315856%
arrow        ,         1, 0.0315856%
artificial   ,         1, 0.0315856%
asked        ,         1, 0.0315856%
asking       ,         1, 0.0315856%
assailing    ,         1, 0.0315856%
assembly     ,         1, 0.0315856%
attend       ,         1, 0.0315856%
apothecary   ,         1, 0.0315856%
augmenting   ,         1, 0.0315856%
aurora       ,         1, 0.0315856%
backward     ,         1, 0.0315856%
balthasar    ,         1, 0.0315856%
barbara      ,         1, 0.0315856%
bear         ,         1, 0.0315856%
beasts       ,         1, 0.0315856%
beat         ,         1, 0.0315856%
beauteous    ,         1, 0.0315856%
bed          ,         1, 0.0315856%
began        ,         1, 0.0315856%
admired      ,         1, 0.0315856%
2015         ,         1, 0.0315856%
31           ,         1, 0.0315856%
9            ,         1, 0.0315856%
able         ,         1, 0.0315856%
abroach      ,         1, 0.0315856%
abroad       ,         1, 0.0315856%
according    ,         1, 0.0315856%
accustomed   ,         1, 0.0315856%
act          ,         1, 0.0315856%
add          ,         1, 0.0315856%
adding       ,         1, 0.0315856%
begun        ,         1, 0.0315856%
adversary    ,         1, 0.0315856%
afternoon    ,         1, 0.0315856%
again        ,         1, 0.0315856%
against      ,         1, 0.0315856%
agreed       ,         1, 0.0315856%
aimed        ,         1, 0.0315856%
air          ,         1, 0.0315856%
airy         ,         1, 0.0315856%
anguish      ,         1, 0.0315856%
anselme      ,         1, 0.0315856%
burnt        ,         1, 0.0315856%
bred         ,         1, 0.0315856%
bride        ,         1, 0.0315856%
bright       ,         1, 0.0315856%
broken       ,         1, 0.0315856%
brother      ,         1, 0.0315856%
brows        ,         1, 0.0315856%
bucklers     ,         1, 0.0315856%
bud          ,         1, 0.0315856%
buds         ,         1, 0.0315856%
burning      ,         1, 0.0315856%
burns        ,         1, 0.0315856%
breathed     ,         1, 0.0315856%
bury         ,         1, 0.0315856%
cannot       ,         1, 0.0315856%
canst        ,         1, 0.0315856%
carry        ,         1, 0.0315856%
case         ,         1, 0.0315856%
cast         ,         1, 0.0315856%
chamber      ,         1, 0.0315856%
change       ,         1, 0.0315856%
chaos        ,         1, 0.0315856%
characters   ,         1, 0.0315856%
blood        ,         1, 0.0315856%
behold       ,         1, 0.0315856%
beseeming    ,         1, 0.0315856%
best         ,         1, 0.0315856%
between      ,         1, 0.0315856%
bide         ,         1, 0.0315856%
bills        ,         1, 0.0315856%
bit          ,         1, 0.0315856%
bites        ,         1, 0.0315856%
blade        ,         1, 0.0315856%
blind        ,         1, 0.0315856%
bliss        ,         1, 0.0315856%
flourishes   ,         1, 0.0315856%
bloody       ,         1, 0.0315856%
blow         ,         1, 0.0315856%
blows        ,         1, 0.0315856%
book         ,         1, 0.0315856%
bow          ,         1, 0.0315856%
boy          ,         1, 0.0315856%
brawling     ,         1, 0.0315856%
brawls       ,         1, 0.0315856%
break        ,         1, 0.0315856%
breast       ,         1, 0.0315856%
maskers      ,         1, 0.0315856%
madness      ,         1, 0.0315856%
maidenheads  ,         1, 0.0315856%
maintains    ,         1, 0.0315856%
making       ,         1, 0.0315856%
manage       ,         1, 0.0315856%
mark         ,         1, 0.0315856%
marked       ,         1, 0.0315856%
markman      ,         1, 0.0315856%
marred       ,         1, 0.0315856%
marry        ,         1, 0.0315856%
martino      ,         1, 0.0315856%
madman       ,         1, 0.0315856%
masks        ,         1, 0.0315856%
masters      ,         1, 0.0315856%
match        ,         1, 0.0315856%
mean         ,         1, 0.0315856%
means        ,         1, 0.0315856%
measuring    ,         1, 0.0315856%
meddle       ,         1, 0.0315856%
mend         ,         1, 0.0315856%
michael      ,         1, 0.0315856%
might        ,         1, 0.0315856%
misadventured,         1, 0.0315856%
lived        ,         1, 0.0315856%
lessened     ,         1, 0.0315856%
letter       ,         1, 0.0315856%
letters      ,         1, 0.0315856%
liars        ,         1, 0.0315856%
liberty      ,         1, 0.0315856%
library      ,         1, 0.0315856%
lies         ,         1, 0.0315856%
life         ,         1, 0.0315856%
lightness    ,         1, 0.0315856%
like         ,         1, 0.0315856%
limping      ,         1, 0.0315856%
misery       ,         1, 0.0315856%
lively       ,         1, 0.0315856%
livia        ,         1, 0.0315856%
locks        ,         1, 0.0315856%
loins        ,         1, 0.0315856%
lord         ,         1, 0.0315856%
loved        ,         1, 0.0315856%
lovely       ,         1, 0.0315856%
loves        ,         1, 0.0315856%
lucio        ,         1, 0.0315856%
lusty        ,         1, 0.0315856%
ope          ,         1, 0.0315856%
nine         ,         1, 0.0315856%
ning         ,         1, 0.0315856%
noble        ,         1, 0.0315856%
noise        ,         1, 0.0315856%
note         ,         1, 0.0315856%
nourished    ,         1, 0.0315856%
nurse        ,         1, 0.0315856%
odds         ,         1, 0.0315856%
often        ,         1, 0.0315856%
once         ,         1, 0.0315856%
only         ,         1, 0.0315856%
niles        ,         1, 0.0315856%
oppression   ,         1, 0.0315856%
ornaments    ,         1, 0.0315856%
overthrows   ,         1, 0.0315856%
painter      ,         1, 0.0315856%
pair         ,         1, 0.0315856%
parted       ,         1, 0.0315856%
pass         ,         1, 0.0315856%
passage      ,         1, 0.0315856%
passed       ,         1, 0.0315856%
pathways     ,         1, 0.0315856%
patient      ,         1, 0.0315856%
naught       ,         1, 0.0315856%
misshapen    ,         1, 0.0315856%
mistempered  ,         1, 0.0315856%
mistress     ,         1, 0.0315856%
morrow       ,         1, 0.0315856%
mothers      ,         1, 0.0315856%
moves        ,         1, 0.0315856%
mowat        ,         1, 0.0315856%
muffled      ,         1, 0.0315856%
musicians    ,         1, 0.0315856%
mutiny       ,         1, 0.0315856%
naked        ,         1, 0.0315856%
lengthens    ,         1, 0.0315856%
nay          ,         1, 0.0315856%
ne           ,         1, 0.0315856%
near         ,         1, 0.0315856%
neck         ,         1, 0.0315856%
neighbor     ,         1, 0.0315856%
neither      ,         1, 0.0315856%
